checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
011,6,034,043,1169.0,065,075,4.0,093,0101,4.0,0121,67.0,0143,0152,2.0,0173,1,0192,0201,1
012,48,032,043,5951.0,061,073,2.0,092,0101,2.0,0121,22.0,0143,0152,1.0,0173,1,0191,0201,2
014,12,034,046,2096.0,061,074,2.0,093,0101,3.0,0121,49.0,0143,0152,1.0,0172,2,0191,0201,1
011,42,032,042,7882.0,061,074,2.0,093,0103,4.0,0122,45.0,0143,0153,1.0,0173,2,0191,0201,1
011,24,033,040,4870.0,061,073,3.0,093,0101,4.0,0124,53.0,0143,0153,2.0,0173,2,0191,0201,2
014,36,032,046,9055.0,065,073,2.0,093,0101,4.0,0124,35.0,0143,0153,1.0,0172,2,0192,0201,1
014,24,032,042,2835.0,063,075,3.0,093,0101,4.0,0122,53.0,0143,0152,1.0,0173,1,0191,0201,1
012,36,032,041,6948.0,061,073,2.0,093,0101,2.0,0123,35.0,0143,0151,1.0,0174,1,0192,0201,1
014,12,032,043,3059.0,064,074,2.0,091,0101,4.0,0121,61.0,0143,0152,1.0,0172,1,0191,0201,1
012,30,034,040,5234.0,061,071,4.0,094,0101,2.0,0123,28.0,0143,0152,2.0,0174,1,0191,0201,2
012,12,032,040,1295.0,061,072,3.0,092,0101,1.0,0123,25.0,0143,0151,1.0,0173,1,0191,0201,2
011,48,032,049,4308.0,061,072,3.0,092,0101,4.0,0122,24.0,0143,0151,1.0,0173,1,0191,0201,2
012,12,032,043,1567.0,061,073,1.0,092,0101,1.0,0123,22.0,0143,0152,1.0,0173,1,0192,0201,1
011,24,034,040,1199.0,061,075,4.0,093,0101,4.0,0123,60.0,0143,0152,2.0,0172,1,0191,0201,2
011,15,032,040,1403.0,061,073,2.0,092,0101,4.0,0123,28.0,0143,0151,1.0,0173,1,0191,0201,1
011,24,032,043,1282.0,062,073,4.0,092,0101,2.0,0123,32.0,0143,0152,1.0,0172,1,0191,0201,2
014,24,034,043,2424.0,065,075,4.0,093,0101,4.0,0122,53.0,0143,0152,2.0,0173,1,0191,0201,1
011,30,030,049,8072.0,065,072,2.0,093,0101,3.0,0123,25.0,0141,0152,3.0,0173,1,0191,0201,1
012,24,032,041,12579.0,061,075,4.0,092,0101,2.0,0124,44.0,0143,0153,1.0,0174,1,0192,0201,2
014,24,032,043,3430.0,063,075,3.0,093,0101,2.0,0123,31.0,0143,0152,1.0,0173,2,0192,0201,1
014,9,034,040,2134.0,061,073,4.0,093,0101,4.0,0123,48.0,0143,0152,3.0,0173,1,0192,0201,1
011,6,032,043,2647.0,063,073,2.0,093,0101,3.0,0121,44.0,0143,0151,1.0,0173,2,0191,0201,1
011,10,034,040,2241.0,061,072,1.0,093,0101,3.0,0121,48.0,0143,0151,2.0,0172,2,0191,0202,1
012,12,034,041,1804.0,062,072,3.0,093,0101,4.0,0122,44.0,0143,0152,1.0,0173,1,0191,0201,1
014,10,034,042,2069.0,065,073,2.0,094,0101,1.0,0123,26.0,0143,0152,2.0,0173,1,0191,0202,1
011,6,032,042,1374.0,061,073,1.0,093,0101,2.0,0121,36.0,0141,0152,1.0,0172,1,0192,0201,1
014,6,030,043,426.0,061,075,4.0,094,0101,4.0,0123,39.0,0143,0152,1.0,0172,1,0191,0201,1
013,12,031,043,409.0,064,073,3.0,092,0101,3.0,0121,42.0,0143,0151,2.0,0173,1,0191,0201,1
012,7,032,043,2415.0,061,073,3.0,093,0103,2.0,0121,34.0,0143,0152,1.0,0173,1,0191,0201,1
011,60,033,049,6836.0,061,075,3.0,093,0101,4.0,0124,63.0,0143,0152,2.0,0173,1,0192,0201,2
012,18,032,049,1913.0,064,072,3.0,094,0101,3.0,0121,36.0,0141,0152,1.0,0173,1,0192,0201,1
011,24,032,042,4020.0,061,073,2.0,093,0101,2.0,0123,27.0,0142,0152,1.0,0173,1,0191,0201,1
012,18,032,040,5866.0,062,073,2.0,093,0101,2.0,0123,30.0,0143,0152,2.0,0173,1,0192,0201,1
014,12,034,049,1264.0,065,075,4.0,093,0101,4.0,0124,57.0,0143,0151,1.0,0172,1,0191,0201,1
013,12,032,042,1474.0,061,072,4.0,092,0101,1.0,0122,33.0,0141,0152,1.0,0174,1,0192,0201,1
012,45,034,043,4746.0,061,072,4.0,093,0101,2.0,0122,25.0,0143,0152,2.0,0172,1,0191,0201,2
014,48,034,046,6110.0,061,073,1.0,093,0101,3.0,0124,31.0,0141,0153,1.0,0173,1,0192,0201,1
013,18,032,043,2100.0,061,073,4.0,093,0102,2.0,0121,37.0,0142,0152,1.0,0173,1,0191,0201,2
013,10,032,044,1225.0,061,073,2.0,093,0101,2.0,0123,37.0,0143,0152,1.0,0173,1,0192,0201,1
012,9,032,043,458.0,061,073,4.0,093,0101,3.0,0121,24.0,0143,0152,1.0,0173,1,0191,0201,1
014,30,032,043,2333.0,063,075,4.0,093,0101,2.0,0123,30.0,0141,0152,1.0,0174,1,0191,0201,1
012,12,032,043,1158.0,063,073,3.0,091,0101,1.0,0123,26.0,0143,0152,1.0,0173,1,0192,0201,1
012,18,033,045,6204.0,061,073,2.0,093,0101,4.0,0121,44.0,0143,0152,1.0,0172,2,0192,0201,1
011,30,034,041,6187.0,062,074,1.0,094,0101,4.0,0123,24.0,0143,0151,2.0,0173,1,0191,0201,1
011,48,034,041,6143.0,061,075,4.0,092,0101,4.0,0124,58.0,0142,0153,2.0,0172,1,0191,0201,2
014,11,034,040,1393.0,061,072,4.0,092,0101,4.0,0123,35.0,0143,0152,2.0,0174,1,0191,0201,1
014,36,032,043,2299.0,063,075,4.0,093,0101,4.0,0123,39.0,0143,0152,1.0,0173,1,0191,0201,1
011,6,032,041,1352.0,063,071,1.0,092,0101,2.0,0122,23.0,0143,0151,1.0,0171,1,0192,0201,1
014,11,034,040,7228.0,061,073,1.0,093,0101,4.0,0122,39.0,0143,0152,2.0,0172,1,0191,0201,1
014,12,032,043,2073.0,062,073,4.0,092,0102,2.0,0121,28.0,0143,0152,1.0,0173,1,0191,0201,1
012,24,033,042,2333.0,065,072,4.0,093,0101,2.0,0122,29.0,0141,0152,1.0,0172,1,0191,0201,1
012,27,033,041,5965.0,061,075,1.0,093,0101,2.0,0123,30.0,0143,0152,2.0,0174,1,0192,0201,1
014,12,032,043,1262.0,061,073,3.0,093,0101,2.0,0123,25.0,0143,0152,1.0,0173,1,0191,0201,1
014,18,032,041,3378.0,065,073,2.0,093,0101,1.0,0122,31.0,0143,0152,1.0,0173,1,0192,0201,1
012,36,033,040,2225.0,061,075,4.0,093,0101,4.0,0124,57.0,0141,0153,2.0,0173,1,0192,0201,2
014,6,031,040,783.0,065,073,1.0,093,0103,2.0,0121,26.0,0142,0152,1.0,0172,2,0191,0201,1
012,12,032,043,6468.0,065,071,2.0,093,0101,1.0,0124,52.0,0143,0152,1.0,0174,1,0192,0201,2
014,36,034,043,9566.0,061,073,2.0,092,0101,2.0,0123,31.0,0142,0152,2.0,0173,1,0191,0201,1
013,18,032,040,1961.0,061,075,3.0,092,0101,2.0,0123,23.0,0143,0152,1.0,0174,1,0191,0201,1
011,36,034,042,6229.0,061,072,4.0,092,0102,4.0,0124,23.0,0143,0151,2.0,0172,1,0192,0201,2
012,9,032,049,1391.0,061,073,2.0,094,0101,1.0,0121,27.0,0141,0152,1.0,0173,1,0192,0201,1
012,15,034,043,1537.0,065,075,4.0,093,0103,4.0,0121,50.0,0143,0152,2.0,0173,1,0192,0201,1
012,36,030,049,1953.0,061,075,4.0,093,0101,4.0,0124,61.0,0143,0153,1.0,0174,1,0192,0201,2
012,48,030,049,14421.0,061,073,2.0,093,0101,2.0,0123,25.0,0143,0152,1.0,0173,1,0192,0201,2
014,24,032,043,3181.0,061,072,4.0,092,0101,4.0,0122,26.0,0143,0152,1.0,0173,1,0192,0201,1
014,27,032,045,5190.0,065,075,4.0,093,0101,4.0,0122,48.0,0143,0152,4.0,0173,2,0192,0201,1
